time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti,대곡교_누적강우,궁내교_누적강우
2022-09-16 12:10,0,0,0,0,0,0,1.09,4.3,2.07,11.48,0,0,0,0
2022-09-16 12:20,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 12:30,0,0,0,0,0,0,1.09,4.3,2.07,11.48,0,0,0,0
2022-09-16 12:40,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 12:50,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 13:00,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 13:10,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 13:20,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 13:30,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 13:40,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 13:50,0,0,0,0,0,0,1.09,4.3,2.07,10.91,0,0,0,0
2022-09-16 14:00,0,0,0,0,0,0,1.09,4.3,2.07,11.48,0,0,0,0
2022-09-16 14:10,0,0,0,0,0,0,1.09,4.3,2.07,11.48,0,0,0,0
2022-09-16 14:20,0,0,0,0,0,0,1.09,4.3,2.07,11.48,0,0,0,0
2022-09-16 14:30,0,0,0,0,0,0,1.09,4.3,2.07,11.48,0,0,0,0
2022-09-16 14:40,0,0,0,0,0,0,1.09,4.3,2.07,12.07,0,0,0,0
2022-09-16 14:50,0,0,0,0,0,0,1.09,4.3,2.07,12.07,0,0,0,0
2022-09-16 15:00,0,0,0,0,0,0,1.09,4.3,2.07,12.07,0,0,0,0
2022-09-16 15:10,0,0,0,0,0,0,1.09,4.3,2.08,12.67,0,0,0,0
2022-09-16 15:20,0,0,0,0,0,0,1.09,4.3,2.08,12.67,0,0,0,0
