time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2018-09-22 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,8.5,0.0,0.0
2018-09-22 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,8.5,0.0,0.0
2018-09-22 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,8.5,0.0,0.0
2018-09-22 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,8.5,0.0,0.0
2018-09-22 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,8.5,0.0,0.0
2018-09-22 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,8.5,0.0,0.0
2018-09-22 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,8.5,0.0,0.0
2018-09-22 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,8.5,0.0,0.0
2018-09-22 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-22 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.91,7.99,0.0,0.0
2018-09-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.9,7.99,0.0,0.0
2018-09-23 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.9,7.99,0.0,0.0
2018-09-23 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.9,7.99,0.0,0.0
2018-09-23 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.9,7.99,0.0,0.0
2018-09-23 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.9,7.5,0.0,0.0
2018-09-23 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.9,7.5,0.0,0.0
2018-09-23 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.9,7.5,0.0,0.0
2018-09-23 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.9,7.5,0.0,0.0
2018-09-23 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.89,7.5,0.0,0.0
2018-09-23 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.89,7.5,0.0,0.0
2018-09-23 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.89,7.5,0.0,0.0
2018-09-23 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.02,2.7,1.89,7.5,0.0,0.0
2018-09-23 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.89,7.02,0.0,0.0
2018-09-23 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.89,7.02,0.0,0.0
2018-09-23 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.89,7.02,0.0,0.0
2018-09-23 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.88,7.02,0.0,0.0
2018-09-23 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.88,7.02,0.0,0.0
2018-09-23 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.88,7.02,0.0,0.0
2018-09-23 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.88,7.02,0.0,0.0
2018-09-23 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.88,7.02,0.0,0.0
2018-09-23 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.01,2.52,1.88,6.56,0.0,0.0
2018-09-23 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.34,1.87,6.56,0.0,0.0
2018-09-23 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.34,1.88,6.56,0.0,0.0
2018-09-23 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.34,1.87,6.56,0.0,0.0
