time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2025-09-19 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.08,22.52,0.0,0.0
2025-09-19 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.08,22.52,0.0,0.0
2025-09-19 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.08,22.52,0.0,0.0
2025-09-19 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.08,22.52,0.0,0.0
2025-09-19 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.08,22.52,0.0,0.0
2025-09-19 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.08,22.52,0.0,0.0
2025-09-19 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.07,21.88,0.0,0.0
2025-09-19 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.07,21.88,0.0,0.0
2025-09-19 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.07,21.88,0.0,0.0
2025-09-19 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.07,21.88,0.0,0.0
2025-09-19 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.07,21.88,0.0,0.0
2025-09-19 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.07,21.88,0.0,0.0
2025-09-19 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.07,21.88,0.0,0.0
2025-09-19 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 12:10:00,0.0,0.0,0.0,1.0,0.0,0.0,0.97,9.48,2.06,21.25,0.074,0.488
2025-09-19 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 13:00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.97,9.48,2.06,21.25,0.251,0.061
2025-09-19 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 13:40:00,0.0,0.0,0.0,0.0,1.0,0.0,0.97,9.48,2.06,21.25,0.125,0.451
2025-09-19 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 14:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.161,0.0
2025-09-19 14:30:00,0.0,0.0,1.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.016,0.0
2025-09-19 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 15:00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.373,0.0
2025-09-19 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 15:30:00,0.0,0.0,0.0,1.0,0.0,0.0,0.97,9.48,2.06,21.25,0.074,0.488
2025-09-19 15:40:00,0.0,0.0,0.0,0.0,0.0,1.0,0.97,9.48,2.06,21.25,0.251,0.061
2025-09-19 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 17:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.016,0.0
2025-09-19 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.06,21.25,0.0,0.0
2025-09-19 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.05,20.63,0.0,0.0
2025-09-19 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.05,20.63,0.0,0.0
2025-09-19 17:40:00,0.0,0.0,0.0,0.0,0.0,1.0,0.97,9.48,2.05,20.63,0.251,0.061
2025-09-19 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.05,20.63,0.0,0.0
2025-09-19 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,9.48,2.05,20.63,0.0,0.0
2025-09-19 18:10:00,1.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.05,20.63,0.161,0.0
2025-09-19 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 18:40:00,0.0,0.0,0.0,1.0,0.0,0.0,0.96,9.11,2.06,21.25,0.074,0.488
2025-09-19 18:50:00,0.0,0.0,0.0,0.0,1.0,0.0,0.96,9.11,2.06,21.25,0.125,0.451
2025-09-19 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.0,0.0
2025-09-19 19:20:00,0.0,1.0,0.0,0.0,0.0,0.0,0.96,9.11,2.06,21.25,0.373,0.0
