time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2023-07-11 1:50,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 2:00,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 2:10,0,0,0,0,0,0,0.89,5.66,2.12,11.48,0,0
2023-07-11 2:20,0,0,0,0,0,0,0.89,5.66,2.11,11.48,0,0
2023-07-11 2:30,0,0,0,0,0,0,0.89,5.66,2.11,10.91,0,0
2023-07-11 2:40,0,0,0,0,0,0,0.89,5.66,2.11,10.91,0,0
2023-07-11 2:50,0,0,0,0,0,0,0.89,5.66,2.11,10.91,0,0
2023-07-11 3:00,0,0,0,0,0,0,0.89,5.66,2.11,10.35,0,0
2023-07-11 3:10,0,0,0,0,0,0,0.89,5.66,2.11,10.35,0,0
2023-07-11 3:20,0,0,0,0,0,0,0.88,5.33,2.1,9.8,0,0
2023-07-11 3:30,0,0,0,0,0,0,0.88,5.33,2.1,9.8,0,0
2023-07-11 3:40,0,0,0,0,0,0,0.88,5.33,2.09,9.8,0,0
2023-07-11 3:50,0,0,0,0,0,0,0.88,5.33,2.09,9.8,0,0
2023-07-11 4:00,0,0,0,0,0,0,0.88,5.33,2.09,9.27,0,0
2023-07-11 4:10,0,0,0,0,0,0,0.87,5,2.09,9.27,0,0
2023-07-11 4:20,0,0,0,0,0,0,0.87,5,2.08,9.27,0,0
2023-07-11 4:30,0,0,0,0,0,0,0.86,4.69,2.08,9.27,0,0
2023-07-11 4:40,0,0,0,0,0,0,0.86,4.69,2.08,9.27,0,0
2023-07-11 4:50,0,0,0,0,0,0,0.86,4.69,2.08,8.75,0,0
2023-07-11 5:00,0,0,0,0,0,0,0.85,4.38,2.08,8.75,0,0
2023-07-11 5:10,0,0,0,0,0,0,0.85,4.38,2.08,8.75,0,0
2023-07-11 5:20,0,0,0,0,0,0,0.85,4.38,2.08,8.75,0,0
2023-07-11 5:30,0,0,0,0,0,0,0.85,4.38,2.08,8.75,0,0
2023-07-11 5:40,0,0,0,0,0,0,0.85,4.38,2.08,9.27,0,0
2023-07-11 5:50,0,0,0,0,0,0,0.84,4.08,2.08,8.75,0,0
2023-07-11 6:00,0,0,0,0,0,0,0.84,4.08,2.08,8.75,0,0
2023-07-11 6:10,0,0,0,0,0,0,0.84,4.08,2.08,8.75,0,0
2023-07-11 6:20,0,0,0,0,0,0,0.84,4.08,2.08,8.75,0,0
2023-07-11 6:30,0,0,0,0,0,0,0.84,4.08,2.08,8.75,0,0
2023-07-11 6:40,0,0,0,0,0,0,0.84,4.08,2.07,8.75,0,0
2023-07-11 6:50,0,0,0,0,0,0,0.84,4.08,2.07,8.75,0,0
2023-07-11 7:00,0,0,0,0,0,0,0.83,3.79,2.07,8.75,0,0
2023-07-11 7:10,0,0,0,0,0,0,0.83,3.79,2.07,8.75,0,0
2023-07-11 7:20,0,0,0,0,0,0,0.83,3.79,2.07,8.75,0,0
2023-07-11 7:30,0,0,0,0,0,0,0.83,3.79,2.07,8.75,0,0
2023-07-11 7:40,0,0,0,0,0,0,0.83,3.79,2.07,8.75,0,0
2023-07-11 7:50,0,0,0,0,1,0,0.83,3.79,2.07,8.75,0.125,0.451
2023-07-11 8:00,0,0,0,3,7,0,0.83,3.79,2.07,8.75,1.097,4.621
2023-07-11 8:10,0,0,0,0,10,1,0.83,3.79,2.07,8.75,1.501,4.571
2023-07-11 8:20,0,0,0,3,16,0,0.83,3.79,2.07,8.75,2.222,8.68
2023-07-11 8:30,0,0,0,10,9,0,0.84,4.08,2.06,8.75,1.865,8.939
2023-07-11 8:40,0,0,0,8,13,4,1.13,15.84,2.06,8.25,3.221,10.011
2023-07-11 8:50,3,1,0,10,8,5,1.94,75.45,2.06,8.75,3.851,8.793
2023-07-11 9:00,5,5,3,7,3,16,2.22,108.59,2.07,9.27,7.627,5.745
2023-07-11 9:10,6,16,8,11,4,9,2.37,129.52,2.08,10.35,10.635,7.721
2023-07-11 9:20,4,7,9,8,9,1,2.48,147.64,2.11,17.28,5.367,8.024
2023-07-11 9:30,0,2,3,2,2,0,2.52,155,2.16,21.78,1.192,1.878
2023-07-11 9:40,2,2,0,0,0,0,2.48,147.64,3.15,149.52,1.068,0
2023-07-11 9:50,0,0,1,0,0,0,2.4,133.99,4,306.47,0.016,0
2023-07-11 10:00,0,0,0,0,0,0,2.33,123.71,4.39,407.22,0,0
2023-07-11 10:10,0,0,0,0,0,0,2.26,113.95,4.58,467.73,0,0
2023-07-11 10:20,0,0,0,0,0,1,2.17,102.12,4.67,501.78,0.251,0.061
2023-07-11 10:30,0,0,0,0,0,0,2.09,92.27,4.7,509.54,0,0
2023-07-11 10:40,2,1,1,0,0,0,1.98,79.73,4.69,501.78,0.711,0
2023-07-11 10:50,0,0,0,0,0,1,1.85,66.35,4.62,471.44,0.251,0.061
2023-07-11 11:00,0,0,1,0,0,0,1.75,57.07,4.49,424.51,0.016,0
2023-07-11 11:10,0,0,0,0,0,0,1.67,50.27,4.31,367.46,0,0
2023-07-11 11:20,0,0,0,0,0,0,1.6,44.75,4.1,309.36,0,0
