time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2022-07-17 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,11.73,0.0,0.0
2022-07-17 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,12.47,0.0,0.0
2022-07-17 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,11.73,0.0,0.0
2022-07-17 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,12.47,0.0,0.0
2022-07-17 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,13.24,0.0,0.0
2022-07-17 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,13.24,0.0,0.0
2022-07-17 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,13.24,0.0,0.0
2022-07-17 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,13.24,0.0,0.0
2022-07-17 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,13.24,0.0,0.0
2022-07-17 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,13.24,0.0,0.0
2022-07-17 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,14.02,0.0,0.0
2022-07-17 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.05,5.84,2.2,14.02,0.0,0.0
2022-07-17 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.2,14.02,0.0,0.0
2022-07-17 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.21,14.02,0.0,0.0
2022-07-17 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.21,14.02,0.0,0.0
2022-07-17 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.21,14.83,0.0,0.0
2022-07-17 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.21,14.02,0.0,0.0
2022-07-17 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.21,14.02,0.0,0.0
2022-07-17 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.21,14.83,0.0,0.0
2022-07-17 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.21,14.83,0.0,0.0
2022-07-17 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.22,14.83,0.0,0.0
2022-07-17 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.06,6.11,2.22,14.83,0.0,0.0
2022-07-17 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.22,14.83,0.0,0.0
2022-07-17 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
2022-07-17 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1.07,6.38,2.23,14.83,0.0,0.0
