time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2024-07-17 11:50:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 12:00:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 12:10:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 12:20:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 12:30:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 12:40:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 12:50:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 13:00:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 13:10:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 13:20:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 13:30:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 13:40:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 13:50:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 14:00:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 14:10:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 14:20:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 14:30:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 14:40:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 14:50:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 15:00:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 15:10:00,0.0,0.0,0.0,0.87,6.0,0.0
2024-07-17 15:20:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 15:30:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 15:40:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 15:50:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 16:00:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 16:10:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 16:20:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 16:30:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 16:40:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 16:50:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 17:00:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 17:10:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 17:20:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 17:30:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 17:40:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 17:50:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 18:00:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 18:10:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 18:20:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 18:30:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 18:40:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 18:50:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 19:00:00,0.0,0.0,0.0,0.86,5.69,0.0
2024-07-17 19:10:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 19:20:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 19:30:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 19:40:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 19:50:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 20:00:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 20:10:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 20:20:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 20:30:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 20:40:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 20:50:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 21:00:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 21:10:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 21:20:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 21:30:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 21:40:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 21:50:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 22:00:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 22:10:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 22:20:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 22:30:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 22:40:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 22:50:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 23:00:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 23:10:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 23:20:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 23:30:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 23:40:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-17 23:50:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-18 00:00:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-18 00:10:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-18 00:20:00,0.0,0.0,0.0,0.85,5.39,0.0
2024-07-18 00:30:00,0.0,0.0,0.0,0.85,5.39,0.0
