time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2021-05-16 21:40:00,0.0,0.0,0.0,1.22,8.70,0.0
2021-05-16 21:50:00,0.0,0.0,0.0,1.23,9.14,0.0
2021-05-16 22:00:00,0.0,0.0,0.0,1.23,9.14,0.0
2021-05-16 22:10:00,1.0,0.0,0.0,1.23,9.14,0.488
2021-05-16 22:20:00,0.0,0.0,0.0,1.23,9.14,0.0
2021-05-16 22:30:00,0.0,0.0,0.0,1.23,9.14,0.0
2021-05-16 22:40:00,0.0,0.0,1.0,1.23,9.14,0.061
2021-05-16 22:50:00,0.0,0.0,0.0,1.23,9.14,0.0
2021-05-16 23:00:00,0.0,0.0,0.0,1.23,9.14,0.0
2021-05-16 23:10:00,0.0,0.0,0.0,1.22,8.70,0.0
2021-05-16 23:20:00,0.0,0.0,0.0,1.21,8.28,0.0
2021-05-16 23:30:00,0.0,0.0,0.0,1.2,7.87,0.0
2021-05-16 23:40:00,0.0,0.0,0.0,1.19,7.48,0.0
2021-05-16 23:50:00,0.0,0.0,0.0,1.18,7.10,0.0
2021-05-17 00:00:00,0.0,0.0,0.0,1.17,6.74,0.0
2021-05-17 00:10:00,0.0,0.0,0.0,1.17,6.74,0.0
2021-05-17 00:20:00,0.0,0.0,0.0,1.16,6.39,0.0
2021-05-17 00:30:00,0.0,0.0,0.0,1.15,6.05,0.0
2021-05-17 00:40:00,0.0,0.0,0.0,1.15,6.05,0.0
2021-05-17 00:50:00,0.0,0.0,0.0,1.14,5.72,0.0
2021-05-17 01:00:00,0.0,0.0,0.0,1.13,5.41,0.0
2021-05-17 01:10:00,0.0,0.0,0.0,1.13,5.41,0.0
2021-05-17 01:20:00,0.0,0.0,0.0,1.12,5.11,0.0
2021-05-17 01:30:00,0.0,0.0,0.0,1.12,5.11,0.0
2021-05-17 01:40:00,0.0,0.0,0.0,1.11,4.82,0.0
2021-05-17 01:50:00,0.0,0.0,0.0,1.11,4.82,0.0
2021-05-17 02:00:00,0.0,0.0,0.0,1.1,4.54,0.0
2021-05-17 02:10:00,0.0,0.0,0.0,1.1,4.54,0.0
2021-05-17 02:20:00,0.0,0.0,0.0,1.09,4.27,0.0
2021-05-17 02:30:00,0.0,0.0,0.0,1.09,4.27,0.0
2021-05-17 02:40:00,0.0,0.0,0.0,1.08,4.02,0.0
2021-05-17 02:50:00,0.0,0.0,0.0,1.08,4.02,0.0
2021-05-17 03:00:00,0.0,0.0,0.0,1.07,3.77,0.0
2021-05-17 03:10:00,0.0,0.0,0.0,1.06,3.54,0.0
2021-05-17 03:20:00,0.0,0.0,0.0,1.06,3.54,0.0
2021-05-17 03:30:00,0.0,1.0,0.0,1.05,3.31,0.451
2021-05-17 03:40:00,0.0,0.0,0.0,1.05,3.31,0.0
2021-05-17 03:50:00,0.0,0.0,0.0,1.04,3.10,0.0
2021-05-17 04:00:00,0.0,0.0,0.0,1.04,3.10,0.0
2021-05-17 04:10:00,0.0,0.0,0.0,1.04,3.10,0.0
2021-05-17 04:20:00,0.0,0.0,0.0,1.03,2.90,0.0
2021-05-17 04:30:00,0.0,0.0,0.0,1.03,2.90,0.0
2021-05-17 04:40:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-17 04:50:00,0.0,0.0,0.0,1.02,2.70,0.0
2021-05-17 05:00:00,0.0,0.0,0.0,1.01,2.52,0.0
2021-05-17 05:10:00,0.0,0.0,0.0,1.01,2.52,0.0
2021-05-17 05:20:00,0.0,0.0,0.0,1.0,2.34,0.0
2021-05-17 05:30:00,0.0,0.0,0.0,1.0,2.34,0.0
2021-05-17 05:40:00,0.0,0.0,0.0,1.0,2.34,0.0
2021-05-17 05:50:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-05-17 06:00:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-05-17 06:10:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-05-17 06:20:00,0.0,0.0,0.0,0.99,2.17,0.0
2021-05-17 06:30:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-17 06:40:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-17 06:50:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-17 07:00:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-17 07:10:00,0.0,0.0,0.0,0.98,2.01,0.0
2021-05-17 07:20:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-17 07:30:00,0.0,0.0,0.0,0.97,1.86,0.0
2021-05-17 07:40:00,0.0,0.0,0.0,0.97,1.86,0.0
