time,성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,궁내교_Ti
2022-06-08 11:30:00,0.0,0.0,0.0,0.8,1.08,0.0
2022-06-08 11:40:00,0.0,0.0,0.0,0.82,1.32,0.0
2022-06-08 11:50:00,0.0,0.0,0.0,0.83,1.45,0.0
2022-06-08 12:00:00,0.0,0.0,0.0,0.84,1.59,0.0
2022-06-08 12:10:00,0.0,0.0,0.0,0.85,1.73,0.0
2022-06-08 12:20:00,0.0,0.0,0.0,0.85,1.73,0.0
2022-06-08 12:30:00,0.0,0.0,0.0,0.86,1.88,0.0
2022-06-08 12:40:00,0.0,0.0,0.0,0.86,1.88,0.0
2022-06-08 12:50:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 13:00:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 13:10:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 13:20:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 13:30:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 13:40:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 13:50:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 14:00:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 14:10:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 14:20:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 14:30:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 14:40:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 14:50:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 15:00:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 15:10:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 15:20:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 15:30:00,0.0,0.0,0.0,0.87,2.04,0.0
2022-06-08 15:40:00,0.0,0.0,0.0,0.86,1.88,0.0
2022-06-08 15:50:00,0.0,0.0,0.0,0.86,1.88,0.0
